time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,pdot_x,pdot_y,pdot_z,f_x,f_y,f_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.039000,0.308159,-0.000085,0.489676,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.001326,0.000135,-0.002686,0.075633,-0.001100,0.162590,-1.645271,0.035542,-3.520348,0.011283,-3.128410,-0.689050,19.949957,0.772902,1.593445,0.000163
0.040000,0.308243,-0.000085,0.489856,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.001410,0.000135,-0.002865,0.078313,-0.001347,0.168481,-1.707313,0.040470,-3.656173,0.012638,-3.103074,-0.687644,19.875950,0.773861,1.568042,0.000175
0.041000,0.308333,-0.000086,0.490038,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.001500,0.000137,-0.003048,0.081646,-0.002025,0.173420,-1.782927,0.054153,-3.773201,0.016828,-3.083942,-0.683214,19.808272,0.776650,1.541567,0.000181
0.042000,0.308425,-0.000084,0.490231,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.001592,0.000135,-0.003241,0.085451,-0.000897,0.181389,-1.868198,0.031436,-3.951859,0.010553,-3.050549,-0.689432,19.710305,0.771928,1.507188,0.000196
0.043000,0.308519,-0.000083,0.490432,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.001686,0.000134,-0.003442,0.088365,-0.000532,0.188117,-1.935900,0.024023,-4.106575,0.008450,-3.021822,-0.691495,19.626371,0.770348,1.478727,0.000211
0.044000,0.308614,-0.000081,0.490638,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.001782,0.000131,-0.003648,0.089875,0.000523,0.192048,-1.975655,0.002654,-4.205724,0.002218,-3.002619,-0.697625,19.571435,0.765883,1.461358,0.000218
0.045000,0.308714,-0.000078,0.490845,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.001881,0.000129,-0.003855,0.093892,0.000821,0.198777,-2.065950,-0.003527,-4.361054,0.000593,-2.976462,-0.699091,19.483565,0.764558,1.428076,0.000234
0.046000,0.308816,-0.000077,0.491063,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.001983,0.000127,-0.004073,0.095888,0.000794,0.206893,-2.116089,-0.003149,-4.545170,0.000659,-2.939214,-0.698969,19.388014,0.764571,1.400307,0.000250
0.047000,0.308920,-0.000074,0.491294,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.002087,0.000125,-0.004304,0.097519,0.001476,0.212276,-2.159099,-0.017050,-4.675912,-0.003253,-2.913673,-0.702801,19.318116,0.761665,1.379166,0.000261
0.048000,0.309027,-0.000072,0.491527,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.002194,0.000123,-0.004537,0.100344,0.001041,0.220176,-2.226287,-0.008513,-4.857218,-0.001147,-2.879164,-0.700632,19.221068,0.763300,1.348046,0.000279
0.049000,0.309136,-0.000066,0.491771,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.002303,0.000117,-0.004781,0.102511,0.002766,0.228202,-2.280511,-0.043602,-5.042170,-0.010801,-2.842905,-0.710252,19.124288,0.756070,1.319204,0.000298
0.050000,0.309247,-0.000065,0.492024,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.002414,0.000115,-0.005033,0.105059,0.002457,0.238389,-2.342555,-0.037620,-5.271138,-0.009230,-2.797921,-0.708779,19.006072,0.757197,1.284365,0.000322
0.051000,0.309362,-0.000057,0.492291,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.002529,0.000108,-0.005301,0.107660,0.003599,0.248246,-2.406081,-0.061167,-5.495009,-0.015771,-2.754478,-0.715390,18.889670,0.752302,1.249630,0.000348
0.052000,0.309477,-0.000054,0.492565,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.002644,0.000105,-0.005575,0.108139,0.002786,0.255000,-2.427146,-0.045218,-5.657513,-0.010845,-2.720514,-0.710577,18.807871,0.755553,1.229676,0.000356
0.053000,0.309593,-0.000051,0.492845,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.002760,0.000101,-0.005855,0.110413,0.002959,0.262785,-2.484229,-0.049067,-5.841167,-0.011697,-2.686743,-0.711376,18.711726,0.754739,1.200138,0.000381
0.054000,0.309714,-0.000047,0.493133,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.002881,0.000097,-0.006143,0.113301,0.002929,0.269626,-2.554103,-0.048837,-6.006800,-0.011922,-2.658085,-0.711537,18.621608,0.754676,1.169712,0.000405
