time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.031000,0.306709,-0.000031,0.486691,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000022,0.000049,0.000130,-0.000144,-0.000324,0.000117,-0.002618,0.001950,-0.007613,0.000000,0.000000,0.000000,0.004116,0.015863,0.002594,0.028430,-0.014611,0.089156,-0.014840,-0.056492,-0.008729,-0.013210,-0.079634,-0.000433,0.102214,-0.017885,0.070302,0.008701
0.032000,0.306706,-0.000029,0.486684,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000025,0.000047,0.000137,-0.000140,-0.000337,0.000111,-0.002725,0.002011,-0.008121,0.000000,0.000000,0.000000,0.001859,0.016029,0.003401,0.029789,-0.015445,0.094907,-0.006927,-0.057113,-0.011570,-0.016319,-0.081833,-0.008331,0.105717,-0.010149,0.071710,0.011538
0.033000,0.306705,-0.000029,0.486679,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000027,0.000047,0.000142,-0.000142,-0.000348,0.000110,-0.002206,0.001504,-0.006974,0.000000,0.000000,0.000000,0.001703,0.013840,0.002969,0.024740,-0.010339,0.083948,-0.006384,-0.049484,-0.010062,-0.013231,-0.071571,-0.005962,0.092271,-0.008533,0.062060,0.010034
0.034000,0.306704,-0.000026,0.486674,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000028,0.000044,0.000146,-0.000138,-0.000355,0.000095,-0.002191,0.001775,-0.007304,0.000000,0.000000,0.000000,0.000579,0.014081,0.005927,0.024715,-0.013383,0.087684,-0.002442,-0.050349,-0.020458,-0.024570,-0.073605,-0.017106,0.094895,-0.005230,0.063250,0.020428
0.035000,0.306702,-0.000026,0.486669,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000030,0.000043,0.000152,-0.000137,-0.000369,0.000097,-0.001706,0.001170,-0.005404,0.000000,0.000000,0.000000,0.000354,0.010958,0.002958,0.020053,-0.007358,0.069249,-0.001653,-0.039460,-0.010062,-0.012322,-0.057705,-0.008346,0.074709,-0.003179,0.049762,0.010038
0.036000,0.306700,-0.000022,0.486662,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000032,0.000040,0.000159,-0.000135,-0.000382,0.000090,-0.001693,0.001796,-0.005254,0.000000,0.000000,0.000000,-0.001322,0.010374,0.004170,0.020136,-0.013996,0.068422,0.004222,-0.037454,-0.014324,-0.018631,-0.055439,-0.017693,0.072323,0.001296,0.047703,0.014298
0.037000,0.306697,-0.000022,0.486658,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000034,0.000040,0.000163,-0.000139,-0.000389,0.000089,-0.001861,0.001126,-0.004733,0.000000,0.000000,0.000000,0.000050,0.008953,0.001872,0.022059,-0.007296,0.063655,-0.000593,-0.032502,-0.006285,-0.008528,-0.048693,-0.006412,0.065364,-0.002111,0.042736,0.006265
0.038000,0.306697,-0.000020,0.486653,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000035,0.000037,0.000168,-0.000141,-0.000399,0.000077,-0.001441,0.001543,-0.004697,0.000000,0.000000,0.000000,0.000799,0.009052,0.005048,0.017925,-0.011709,0.063790,-0.003221,-0.032881,-0.017437,-0.021033,-0.049760,-0.013868,0.065284,-0.005664,0.042263,0.017418
0.039000,0.306694,-0.000020,0.486648,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000038,0.000037,0.000173,-0.000142,-0.000409,0.000085,-0.001627,0.001088,-0.004929,0.000000,0.000000,0.000000,0.000825,0.009851,0.001667,0.020018,-0.007182,0.066610,-0.003313,-0.035707,-0.005582,-0.007788,-0.053131,-0.003947,0.069706,-0.004805,0.045770,0.005561
0.040000,0.306692,-0.000018,0.486642,0.306732,0.000017,0.486821,0.306732,0.000017,0.486821,0.000040,0.000035,0.000179,-0.000140,-0.000420,0.000079,-0.001736,0.001346,-0.005280,0.000000,0.000000,0.000000,-0.000025,0.010377,0.002248,0.021328,-0.009949,0.070713,-0.000335,-0.037581,-0.007631,-0.010694,-0.056074,-0.008416,0.073682,-0.002409,0.048279,0.007608
