time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,pdot_d_x,pdot_d_y,pdot_d_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.023000,0.306902,-0.000198,0.486609,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000002,0.000108,0.000166,-0.000166,-0.000390,0.000222,0.000248,-0.005437,-0.009793,0.000000,0.000000,0.000000,0.004103,0.024524,-0.012814,-0.004014,0.162932,0.278779,-0.014857,-0.087005,0.045516,0.095569,-0.173659,0.095730,0.217926,0.019403,0.110602,-0.045485
0.024000,0.306902,-0.000202,0.486601,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000002,0.000112,0.000174,-0.000164,-0.000409,0.000235,-0.000560,-0.005751,-0.008181,0.000000,0.000000,0.000000,0.005178,0.020513,-0.016004,0.011988,0.170831,0.250511,-0.018615,-0.073021,0.056717,0.109204,-0.148477,0.108910,0.192716,0.017300,0.097523,-0.056688
0.025000,0.306902,-0.000205,0.486590,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000001,0.000115,0.000184,-0.000166,-0.000433,0.000239,-0.000120,-0.005432,-0.009460,0.000000,0.000000,0.000000,0.006345,0.024956,-0.014206,0.003034,0.165962,0.281253,-0.022704,-0.088643,0.050437,0.101434,-0.174966,0.105776,0.221641,0.012192,0.113946,-0.050401
0.026000,0.306903,-0.000206,0.486581,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,0.000000,0.000116,0.000193,-0.000163,-0.000455,0.000243,0.000082,-0.003972,-0.008637,0.000000,0.000000,0.000000,0.003675,0.022747,-0.010728,-0.001458,0.137416,0.269224,-0.013352,-0.080979,0.038275,0.080485,-0.164168,0.081255,0.207748,0.015543,0.104291,-0.038245
0.027000,0.306904,-0.000209,0.486571,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000000,0.000119,0.000204,-0.000158,-0.000479,0.000245,0.000447,-0.003036,-0.009608,0.000000,0.000000,0.000000,0.002234,0.025448,-0.006677,-0.009097,0.120043,0.294082,-0.008292,-0.090505,0.024105,0.060963,-0.182518,0.061969,0.227996,0.016956,0.114380,-0.024073
0.028000,0.306906,-0.000210,0.486561,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000002,0.000120,0.000213,-0.000154,-0.000500,0.000246,0.000751,-0.002346,-0.008990,0.000000,0.000000,0.000000,0.000966,0.024148,-0.004177,-0.016136,0.107117,0.286385,-0.003842,-0.086018,0.015358,0.048233,-0.176682,0.048413,0.218969,0.018689,0.107736,-0.015330
0.029000,0.306906,-0.000212,0.486553,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000002,0.000122,0.000222,-0.000152,-0.000519,0.000250,0.000563,-0.002740,-0.008486,0.000000,0.000000,0.000000,0.000861,0.021661,-0.002300,-0.012466,0.115613,0.280648,-0.003469,-0.077370,0.008801,0.044260,-0.165698,0.046196,0.208122,0.020849,0.099359,-0.008775
0.030000,0.306908,-0.000213,0.486545,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000004,0.000123,0.000229,-0.000149,-0.000533,0.000258,0.000598,-0.001885,-0.007551,0.000000,0.000000,0.000000,-0.000134,0.018729,-0.001798,-0.013840,0.099119,0.265743,0.000020,-0.067152,0.007067,0.037478,-0.151048,0.037206,0.190710,0.020870,0.087553,-0.007046
0.031000,0.306908,-0.000215,0.486532,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000004,0.000125,0.000242,-0.000145,-0.000558,0.000262,0.000048,-0.003289,-0.010012,0.000000,0.000000,0.000000,-0.004787,0.023705,-0.004564,-0.003162,0.128365,0.321217,0.016318,-0.084644,0.016760,0.056137,-0.184095,0.041995,0.235742,0.043313,0.112138,-0.016743
0.032000,0.306909,-0.000216,0.486523,0.306904,-0.000090,0.486774,0.311904,-0.000090,0.486774,-0.000005,0.000126,0.000251,-0.000148,-0.000578,0.000262,0.000517,-0.003190,-0.010381,0.000000,0.000000,0.000000,-0.002188,0.020565,-0.005357,-0.012917,0.126772,0.333364,0.007213,-0.073710,0.019535,0.058438,-0.178431,0.049911,0.229288,0.033866,0.100217,-0.019517
