time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.029000,0.306785,-0.000063,0.486684,0.306803,0.000002,0.486776,0.000018,0.000065,0.000093,-0.000157,-0.000195,0.000134,-0.001741,-0.002991,-0.002738,0.003954,0.004712,-0.001475,0.036999,0.066333,0.064036,-0.016365,-0.009814,0.003420,0.023813,-0.023816,0.035665,0.044739,-0.002394,0.023217,-0.003422
0.030000,0.306785,-0.000066,0.486679,0.306803,0.000002,0.486776,0.000019,0.000068,0.000097,-0.000160,-0.000207,0.000140,-0.001037,-0.003842,-0.002745,0.005504,0.005899,-0.004969,0.023003,0.083628,0.064633,-0.022576,-0.012212,0.010428,0.036125,-0.028590,0.050632,0.045615,-0.004969,0.022712,-0.010430
0.031000,0.306783,-0.000067,0.486674,0.306803,0.000002,0.486776,0.000020,0.000069,0.000102,-0.000161,-0.000217,0.000141,-0.001576,-0.002987,-0.002850,0.004227,0.005195,-0.002782,0.033977,0.066673,0.067225,-0.017474,-0.010823,0.006057,0.026553,-0.026276,0.038420,0.046868,-0.003431,0.023869,-0.006059
0.032000,0.306782,-0.000068,0.486672,0.306803,0.000002,0.486776,0.000022,0.000070,0.000105,-0.000163,-0.000218,0.000137,-0.001509,-0.002012,-0.002902,0.003237,0.004496,0.000093,0.032783,0.047215,0.068493,-0.013518,-0.009429,0.000292,0.014809,-0.025427,0.025196,0.045929,-0.003569,0.022343,-0.000294
0.033000,0.306780,-0.000070,0.486665,0.306803,0.000002,0.486776,0.000023,0.000072,0.000112,-0.000166,-0.000232,0.000143,-0.001671,-0.001722,-0.004564,0.002519,0.008086,-0.001527,0.036223,0.041600,0.102423,-0.010655,-0.016634,0.003555,0.016346,-0.042555,0.023645,0.069600,-0.001883,0.033252,-0.003562
0.034000,0.306779,-0.000071,0.486661,0.306803,0.000002,0.486776,0.000024,0.000073,0.000116,-0.000169,-0.000241,0.000152,-0.001857,-0.001647,-0.006462,0.002768,0.013168,-0.003654,0.040067,0.040254,0.140806,-0.011664,-0.026818,0.007841,0.020230,-0.063995,0.026966,0.098392,-0.003169,0.047609,-0.007854
0.035000,0.306777,-0.000070,0.486657,0.306803,0.000002,0.486776,0.000027,0.000072,0.000120,-0.000174,-0.000249,0.000149,-0.002088,-0.000914,-0.006185,0.002464,0.012548,-0.001446,0.044953,0.025464,0.135684,-0.010463,-0.025595,0.003414,0.011258,-0.060421,0.018161,0.095383,-0.005079,0.046971,-0.003426
0.036000,0.306776,-0.000071,0.486652,0.306803,0.000002,0.486776,0.000028,0.000073,0.000124,-0.000175,-0.000255,0.000154,-0.002092,-0.000800,-0.006145,0.001316,0.012426,-0.002123,0.045166,0.023255,0.135332,-0.005876,-0.025363,0.004786,0.011938,-0.060047,0.015146,0.095014,-0.000960,0.046751,-0.004800
0.037000,0.306775,-0.000071,0.486648,0.306803,0.000002,0.486776,0.000029,0.000073,0.000128,-0.000178,-0.000265,0.000149,-0.001523,-0.000526,-0.004326,0.001877,0.009741,-0.000596,0.033899,0.017791,0.099301,-0.008133,-0.020013,0.001712,0.007185,-0.045323,0.012784,0.071220,-0.004371,0.035871,-0.001722
0.038000,0.306772,-0.000070,0.486640,0.306803,0.000002,0.486776,0.000031,0.000072,0.000136,-0.000176,-0.000283,0.000149,-0.001797,-0.000205,-0.005535,0.000270,0.012318,-0.000863,0.039644,0.011311,0.124301,-0.001694,-0.025201,0.002249,0.005723,-0.057333,0.006484,0.088944,0.000706,0.044461,-0.002263
